iter	Passed	Remaining
331	2835481	5705124
332	2844412	5697367
333	2853107	5689130
334	2862928	5683126
335	2871110	5673861
336	2879596	5665201
337	2887983	5656346
338	2897205	5649124
339	2906538	5642103
340	2914716	5632839
341	2924000	5625709
342	2933544	5619062
343	2942117	5610549
344	2951264	5603125
345	2958288	5591678
346	2966638	5582751
347	2975861	5575464
348	2985404	5568762
349	2994420	5561067
350	3003663	5553782
351	3012185	5545159
352	3021342	5537701
353	3030876	5530920
354	3040468	5524230
355	3049085	5515762
356	3059239	5510058
357	3069248	5504071
358	3077956	5495737
359	3085722	5485729
360	3096120	5480391
361	3104575	5471600
362	3112404	5461712
363	3120609	5452493
364	3129009	5443619
365	3137838	5435490
366	3146459	5426998
367	3154680	5417820
368	3163272	5409282
369	3172585	5401970
370	3182221	5395195
371	3191397	5387628
372	3201365	5381384
373	3210773	5374182
374	3218507	5364178
375	3226252	5354205
376	3233758	5343850
377	3242158	5334980
378	3250606	5326191
379	3258991	5317302
380	3267987	5309407
381	3276019	5299947
382	3284620	5291411
383	3294062	5284224
384	3303688	5277321
385	3311863	5268093
386	3319838	5258555
387	3328791	5250568
388	3337013	5241427
389	3346230	5233847
390	3356301	5227589
391	3363995	5217626
392	3372127	5208349
393	3381207	5200537
394	3390081	5192403
395	3398747	5183948
396	3407186	5175147
397	3416014	5166935
398	3425412	5159580
399	3434255	5151383
400	3443487	5143763
401	3452372	5135618
402	3461426	5127721
403	3470649	5120066
404	3477968	5109607
405	3487927	5103027
406	3497004	5095143
407	3505033	5085734
408	3513393	5076811
409	3521828	5067996
410	3530840	5060012
411	3539531	5051564
412	3544163	5037346
413	3551980	5027683
414	3560979	5019694
415	3569990	5011717
416	3578240	5002672
417	3586957	4994280
418	3596931	4987630
419	3605865	4979528
420	3614647	4971213
421	3622085	4961055
422	3631181	4953171
423	3639714	4944517
424	3647391	4934706
425	3656549	4926899
426	3665209	4918419
427	3673828	4909883
428	3682529	4901455
429	3691775	4893748
430	3700865	4885829
431	3709297	4877039
432	3718790	4869640
433	3727487	4861193
434	3736743	4853471
435	3745159	4844655
436	3754049	4836452
437	3763276	4828679
438	3773098	4821658
439	3782510	4814103
440	3790369	4804572
441	3798934	4795940
442	3806590	4786163
443	3816311	4778984
444	3824689	4770118
445	3833565	4761873
446	3842762	4754021
447	3851140	4745155
448	3859818	4736659
449	3869246	4729079
450	3878053	4720734
451	3885698	4710979
452	3894438	4702556
453	3903255	4694223
454	3912684	4686621
455	3920905	4677571
456	3930744	4670447
457	3938139	4660418
458	3946787	4651877
459	3955605	4643536
460	3964738	4635562
461	3973827	4627530
462	3983956	4620701
463	3991503	4610874
464	4000745	4603008
465	4009775	4594893
466	4018070	4585934
467	4026146	4576730
468	4034407	4567740
469	4043263	4559425
470	4051308	4550196
471	4059332	4540947
472	4068600	4533091
473	4077961	4525333
474	4087691	4517974
475	4096723	4509838
476	4105253	4501148
477	4114275	4492995
478	4122475	4483944
479	4130632	4474852
480	4138364	4465303
481	4146891	4456618
482	4155743	4448280
483	4164028	4439336
484	4171752	4429799
485	4180796	4421665
486	4189375	4413038
487	4197332	4403758
488	4204796	4393969
489	4214276	4386287
490	4223182	4378003
491	4233518	4371193
492	4243488	4363992
493	4252675	4355978
494	4261605	4347698
495	4270950	4339836
496	4279898	4331566
497	4289532	4323986
498	4298218	4315445
499	4306612	4306612
500	4315123	4297897
501	4323559	4289109
502	4332516	4280836
503	4342074	4273152
504	4351568	4265398
505	4359787	4256393
506	4368368	4247743
507	4377768	4239886
508	4385758	4230663
509	4395098	4222742
510	4401835	4212323
511	4411046	4204278
512	4419813	4195807
513	4429385	4188095
514	4436802	4178347
515	4445877	4170164
516	4455148	4162160
517	4464141	4153892
518	4473180	4145664
519	4481070	4136372
520	4490397	4128408
521	4500575	4121217
522	4509459	4112834
523	4518313	4104421
524	4527152	4095994
525	4536654	4088164
526	4546156	4080326
527	4554194	4071173
528	4562678	4062422
529	4569974	4052618
530	4579132	4044469
531	4588867	4036823
532	4596930	4027704
533	4605555	4019080
534	4613999	4010298
535	4623312	4002270
536	4632051	3993742
537	4641525	3985845
538	4650445	3977468
539	4660306	3969890
540	4669745	3961946
541	4677994	3952991
542	4686332	3944114
543	4695235	3935712
544	4704057	3927241
545	4711975	3918015
546	4719914	3908814
547	4728925	3900500
548	4737768	3892046
549	4747545	3884355
550	4756396	3875901
551	4765481	3867637
552	4774796	3859555
553	4783476	3850957
554	4793354	3843320
555	4802674	3835229
556	4812098	3827216
557	4821466	3819154
558	4830901	3811140
559	4839342	3802340
560	4848621	3794197
561	4857440	3785692
562	4865389	3776509
563	4874504	3768233
564	4882353	3758980
565	4890146	3749688
566	4899088	3741278
567	4908187	3732987
568	4916940	3724430
569	4926442	3716439
570	4935293	3707952
571	4945123	3700197
572	4955088	3692535
573	4964736	3684630
574	4973527	3676085
575	4982016	3667317
576	4991190	3659053
577	5000077	3650575
578	5008843	3642008
579	5017719	3633521
580	5026737	3625134
581	5035642	3616663
582	5043885	3607719
583	5052756	3599224
584	5060622	3590014
585	5069496	3581521
586	5078498	3573117
587	5087019	3564374
588	5095804	3555816
589	5105497	3547888
590	5115479	3540153
591	5124687	3531879
592	5133773	3523517
593	5142744	3515074
594	5151653	3506587
595	5161133	3498486
596	5169133	3489381
597	5177582	3480582
598	5185080	3471147
599	5193803	3462535
600	5202645	3454002
601	5210997	3445144
602	5220915	3437319
603	5229961	3428914
604	5238014	3419860
605	5247334	3411633
606	5255800	3402849
607	5265142	3394631
608	5273860	3386009
609	5283405	3377914
610	5290770	3368428
611	5298704	3359309
612	5305810	3349671
613	5313486	3340400
614	5322163	3331760
615	5330998	3323220
616	5339934	3314740
617	5348573	3306076
618	5356606	3297038
619	5364445	3287885
620	5370589	3277702
621	5377591	3268053
622	5385827	3259160
623	5394419	3250483
624	5403013	3241807
625	5411589	3233122
626	5419977	3224324
627	5429102	3215965
628	5437550	3207203
629	5446806	3198918
630	5455489	3190294
631	5464217	3181696
632	5473106	3173191
633	5482962	3165243
634	5492130	3156894
635	5500880	3148302
636	5510580	3140252
637	5519811	3131930
638	5526862	3122374
639	5534846	3113351
640	5543611	3104768
641	5552725	3096379
642	5561197	3087632
643	5569589	3078841
644	5579554	3070917
645	5587819	3062055
646	5597076	3053737
647	5606272	3045382
648	5615505	3037045
649	5625362	3029041
650	5633806	3020274
651	5641818	3011277
652	5650174	3002466
653	5658152	2993456
654	5667887	2985375
655	5677386	2977166
656	5686734	2968873
657	5695626	2960340
658	5705559	2952345
659	5713703	2943422
660	5722921	2935053
661	5731375	2926291
662	5739793	2917511
663	5748409	2908833
664	5757840	2900566
665	5767396	2892357
666	5776988	2884163
667	5786166	2875759
668	5793400	2866391
669	5802805	2858098
670	5811380	2849395
671	5820267	2840844
672	5829802	2832608
673	5838820	2824118
674	5848062	2815733
675	5856497	2806960
676	5865648	2798529
677	5873614	2789533
678	5882492	2780972
679	5891574	2772505
680	5900418	2763925
681	5909638	2755520
682	5917776	2746610
683	5926088	2737783
684	5934053	2728798
685	5942699	2720127
686	5952143	2711820
687	5960648	2703084
688	5970037	2694748
689	5978019	2685776
690	5987015	2677261
691	5996386	2668911
692	6005822	2660588
693	6014214	2651800
694	6022512	2642973
695	6031872	2634610
696	6041687	2626443
697	6050776	2617957
698	6058832	2609025
699	6067344	2600290
700	6075573	2591435
701	6084268	2582780
702	6091949	2573697
703	6099237	2564452
704	6108389	2555992
